id;spec;job_title;city;employer;schedule;experience;published;salary_from;salary_to;currency;skills
78053887;Финансовый аналитик;Финансовый аналитик - бухгалтер;Санкт-Петербург;Марчеллис;;;2023-04-06;;;;план-фактный анализ бюджета, работа с большим объемом информации, анализ данных, формирование бюджета, продвинутый пользователь ms excel, экономика, управленческая отчетность, сводные таблицы, финансовый анализ
78269416;Финансовый аналитик;Аналитик финансовых рынков (со знанием английского языка);Санкт-Петербург;Headliner;;;2023-04-04;;;;английский язык, аналитическое мышление, трейдинг, анализ текущих финансовых показателей, биржевые торги, грамотная письменная речь
78638416;Финансовый аналитик;Специалист отдела финансово-экономического аудита (экономист-аналитик);Санкт-Петербург;ДСК АБЗ-Дорстрой;;;2023-04-06;;65000;RUR;
78360555;Финансовый аналитик;Экономист / старший финансовый аналитик;Санкт-Петербург;Азбука-Аттикус, Издательская Группа, г. Санкт-Петербург;;;2023-04-05;;;;
77091145;Финансовый аналитик;Ведущий финансовый аналитик;Санкт-Петербург;Императорский фарфоровый завод;;;2023-03-30;;;;бюджетирование, финансовое моделирование, ms powerpoint, управленческая отчетность, финансовый анализ, p&l, cash flow, ms excel, 1с: предприятие, аналитическое мышление, системное мышление, инициативность, добросовестность, целеустремленность, business intelligence systems, реинжиниринг бизнес-процессов, анализ текущих финансовых показателей, инвестиционный анализ, анализ бизнес показателей, анализ финансовых показателей
78073594;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;Этажи Северо-Запад;;;2023-03-27;80000;;RUR;анализ текущих финансовых показателей, анализ финансовых показателей, корпоративная этика, аналитика, ориентация на результат, аналитическое мышление, работа в команде, грамотная речь, ms excel
69948844;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;LCG Recruiting;;;2023-03-27;75000;;RUR;анализ текущих финансовых показателей, ms powerpoint, экономический анализ, аналитическое мышление, анализ финансовых показателей, ms excel
75524904;Финансовый аналитик;Финансовый аналитик/Финансовый менеджер/Финансовый бизнес-партнер;Санкт-Петербург;АВТОПОЛЕ;;;2023-03-30;;;;аналитическое мышление, ms powerpoint, анализ данных, работа с большим объемом информации, финансовое моделирование, финансовый анализ, анализ бизнес показателей, power bi, финансовый менеджмент, финансовый контроль, ms excel, 1с: предприятие 8, управленческая отчетность, финансовая отчетность, визуализация, конкурентная аналитика, краткосрочное бюджетирование и планирование, среднесрочное бюджетирование и планирование, план-фактный анализ бюджета
77492703;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;НПАО Светогорский ЦБК;;;2023-03-29;;;;статистический анализ, прогнозирование, ms powerpoint, экономический анализ, аналитические исследования
78312035;Финансовый аналитик;Финансовый аналитик производства;Санкт-Петербург;BAT Russia;;;2023-03-20;100000;;RUR;
78583537;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;Петрович, Строительный Торговый Дом;;;2023-03-27;;;;power pivot, математическое моделирование, статистический анализ, sql, базы данных, грамотность, ms sql, power bi, python, математическая статистика, power query, сводные таблицы, анализ данных, финансовая отчетность, экономический анализ, ms outlook, аналитические исследования, ms access, анализ финансовых показателей, математический анализ, бизнес-планирование, планирование, публичные выступления, проведение презентаций, подготовка презентаций, деловая коммуникация
77586065;Финансовый аналитик;Младший финансовый аналитик;Санкт-Петербург;Фотосклад.ру;;;2023-03-23;;;;анализ текущих финансовых показателей, работа с большим объемом информации, знание excel
78337951;Финансовый аналитик;Финансовый аналитик (в Сочи);Санкт-Петербург;Коттон Вэй;;;2023-03-21;;;;финансовый анализ, финансовая отчетность, ms excel
78259703;Финансовый аналитик;Аналитик в финансовый отдел;Санкт-Петербург;Аэропорт Пулково (ООО Воздушные Ворота Северной Столицы);;;2023-03-20;;;;управленческая отчетность, sap
78074473;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;Этажи Северо-Запад;;;2023-03-15;100000;;RUR;анализ текущих финансовых показателей, анализ финансовых показателей, корпоративная этика, аналитика, ориентация на результат, аналитическое мышление, работа в команде, грамотная речь, ms excel
77197997;Финансовый аналитик;Экономист- аналитик/ Экономист финансового отдела/ Экономист-финансист;Санкт-Петербург;Центр Днк Тест;;;2023-03-20;70000;;RUR;первичная бухгалтерская документация, 1с: предприятие 8, работа с большим объемом информации, 1с: бухгалтерия, ms excel
78022753;Финансовый аналитик;Финансовый аналитик/Финансовый менеджер;Санкт-Петербург;АВТОПОЛЕ;;;2023-03-14;120000;;RUR;аналитическое мышление, ms powerpoint, анализ данных, работа с большим объемом информации, финансовое моделирование, финансовый анализ, анализ бизнес показателей, power bi, финансовый менеджмент, финансовый контроль, ms excel, 1с: предприятие 8, управленческая отчетность, финансовая отчетность, визуализация, конкурентная аналитика, краткосрочное бюджетирование и планирование, среднесрочное бюджетирование и планирование, план-фактный анализ бюджета
78590856;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;РосАл;;;2023-03-27;60000;;RUR;1с: документооборот, 1с: предприятие 8, анализ, работа с большим объемом информации, способность работать с документами, умение работать в условиях многозадачности, дебиторская задолженность, контроль и анализ ценообразования, контроль дебиторской задолженности, 1c: предприятие, работа в условиях многозадачности, подготовка отчетов, анализ продаж
76569432;Финансовый аналитик;Финансовый контролер/финансовый аналитик;Санкт-Петербург;АТОМ;;;2023-03-20;;;;финансовый анализ, бюджетирование, финансовый контроль, умение работать в режиме многозадачности, многозадачность, финансовая отчетность, подготовка презентаций, бизнес-анализ, ориентация на результат, работа в режиме многозадачности, анализ текущих финансовых показателей
78199068;Финансовый аналитик;Финансовый менеджер-аналитик;Санкт-Петербург;НПФ Спецмаш;;;2023-03-17;80000;;RUR;
77404784;Финансовый аналитик;Финансовый аналитик;Санкт-Петербург;JTI;;;2023-03-14;;;;ms excel, английский язык, аналитическое мышление, business analysis
